HKK 33 V2.0
HG.Beleuchtung.1/0/1	22 - HG Bad Licht	EIS 1 'Switching' (1 Bit)	Low	1/1/1 5/1/0 5/1/51
HG.Beleuchtung.1/0/2	21 - HG Ankleide	EIS 1 'Switching' (1 Bit)	Low	1/1/2 5/1/0 5/1/51
HG.Beleuchtung.1/0/3	23 - HG Bad Spiegel	EIS 1 'Switching' (1 Bit)	Low	1/1/3 5/1/0 5/1/51
HG.Beleuchtung.1/0/4	24 - HG Flur	EIS 1 'Switching' (1 Bit)	Low	1/1/4 5/1/0 5/1/51
HG.Beleuchtung.1/0/5	20 - HG Schlafzimmer	EIS 1 'Switching' (1 Bit)	Low	1/1/5 5/1/0 5/1/51
HG.Beleuchtung.1/0/6	30 - HG Technik	EIS 1 'Switching' (1 Bit)	Low	1/1/6 5/1/0 5/1/51
HG.Beleuchtung.1/0/7	25 - HG Treppe zu GG	EIS 1 'Switching' (1 Bit)	Low	1/1/7 5/1/0 5/1/51 5/1/52
HG.Beleuchtung.1/0/8	29 - HG Arbeitszimmer Fenster	EIS 1 'Switching' (1 Bit)	Low	1/1/8 5/1/0 5/1/51
HG.Beleuchtung.1/0/100	Szene HG Schlafzimmer	Uncertain (1 Byte)	Low	
HG.RM Beleuchtung.1/1/0	28 - HG Arbeitszimmer Schreibtisch STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/1	22 - HG Bad Licht STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/2	21 - HG Ankleide STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/3	23 - HG Bad Spiegel STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/4	24 - HG Flur STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/5	20 - HG Schlafzimmer STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/6	30 - HG Technik STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/7	25 - HG Treppe zu GG STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Beleuchtung.1/1/8	29 - HG Arbeitszimmer Fenster STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.Rollläden.1/2/1	Rolladen D - HG Schlafzimmer AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/1 5/3/3
HG.Rollläden.1/2/2	Rolladen D - HG Schlafzimmer START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/5 5/3/7
HG.Rollläden.1/2/3	Rolladen D - HG Schlafzimmer POSITION	Uncertain (1 Byte)	Low	
HG.Rollläden.1/2/4	Rolladen F - HG Flur/Treppe AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/1 5/3/3
HG.Rollläden.1/2/5	Rolladen F - HG Flur/Treppe START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/5 5/3/7
HG.Rollläden.1/2/6	Rolladen F - HG Flur/Treppe POSITION	Uncertain (1 Byte)	Low	
HG.Rollläden.1/2/7	Rolladen E - HG Arbeitszimmer AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/1 5/3/3
HG.Rollläden.1/2/8	Rolladen E - HG Arbeitszimmer START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/5 5/3/7
HG.Rollläden.1/2/9	Rolladen E - HG Arbeitszimmer POSITION	Uncertain (1 Byte)	Low	
HG.Rollläden.1/2/10	Rolladen N - HG Bad  AUF/AB	EIS 1 'Switching' (1 Bit)	Low	5/3/1 5/3/3
HG.Rollläden.1/2/11	Rolladen N - HG Bad  START/STOP	EIS 1 'Switching' (1 Bit)	Low	5/3/5 5/3/7
HG.Rollläden.1/2/12	Rolladen N - HG Bad  POSITION	Uncertain (1 Byte)	Low	
HG.RM Rollläden.1/3/1	Rolladen D - HG Schlafzimmer STATUS	Uncertain (1 Byte)	Low	
HG.RM Rollläden.1/3/4	Rolladen F - HG Flur/Treppe STATUS	Uncertain (1 Byte)	Low	
HG.RM Rollläden.1/3/7	Rolladen E - HG Arbeitszimmer STATUS	Uncertain (1 Byte)	Low	
HG.RM Rollläden.1/3/10	Rolladen N - HG Bad  STATUS	Uncertain (1 Byte)	Low	
HG.Steckdosen/Lüfter.1/4/0	HG - Lüfter Technik (max)	EIS 1 'Switching' (1 Bit)	Low	
HG.Steckdosen/Lüfter.1/4/1	HG - Lüfter Bad (max)	EIS 1 'Switching' (1 Bit)	Low	
HG.Steckdosen/Lüfter.1/4/2	HG - Luefter Bad (min)	EIS 1 'Switching' (1 Bit)	Low	
HG.Steckdosen/Lüfter.1/4/20	HG Steckdose Netzwerkverteiler (APs)	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Steckdosen/Lüfter.1/5/0	HG - Lüfter Technik (max) STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Steckdosen/Lüfter.1/5/1	HG - Lüfter Bad (max) STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Steckdosen/Lüfter.1/5/2	HG - Luefter Bad (min) STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/0	HG - Ausgang 1 - Schlafzimmer	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/1	HG - Ausgang 2 - Bad	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/2	HG - Ausgang 3 - Arbeitszimmer	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/3	HG - Ausgang 4 - Flur	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/4	HG - Ausgang 5 - unbelegt	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/5	HG - Ausgang 6 - unbelegt	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/102	HG - Schlafzimmer RTR BM	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/103	HG - Schlafzimmer RTR STATUS	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/104	HG - Schlafzimmer RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/112	HG - Bad RTR BM	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/113	HG - Bad RTR STATUS	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/114	HG - Bad RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/122	HG - Arbeitszimmer RTR BM	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/123	HG - Arbeitszimmer RTR STATUS	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/124	HG - Arbeitszimmer RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
HG.Heizung.1/6/105	HG - Schlafzimmer RTR RM WERT	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/107	HG - Schlafzimmer RTR RM SOLLVERSCH	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/106	HG - Schlafzimmer RTR SOLLVERSCH	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/115	HG - Bad RTR RM WERT	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/117	HG - Bad RTR RM SOLLVERSCH	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/116	HG - Bad RTR SOLLVERSCH	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/125	HG - Arbeitszimmer RTR RM WERT	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/127	HG - Arbeitszimmer RTR RM SOLLVERSCH	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/126	HG - Arbeitszimmer RTR SOLLVERSCH	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/101	HG - Schlafzimmer RTR SOLL	Uncertain (2 Byte)	Low	
HG.Heizung.1/6/111	HG - Bad RTR SOLL	Uncertain (2 Byte)	Low	
HG.Heizung.1/6/121	HG - Arbeitszimmer RTR SOLL	Uncertain (2 Byte)	Low	
HG.Heizung.1/6/131	HG - Flur RTR SOLL	Uncertain (2 Byte)	Low	
HG.Heizung.1/6/133	HG - Flur RTR STATUS	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/132	HG - Flur RTR BM	Uncertain (1 Byte)	Low	
HG.Heizung.1/6/134	HG - Flur RTR RM HEIZEN	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/0	HG - Ausgang 1 - Schlafzimmer STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/1	HG - Ausgang 2 - Bad STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/2	HG - Ausgang 3 - Arbeitszimmer STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/3	HG - Ausgang 4 - Flur STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/4	HG - Ausgang 5 - unbelegt STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/5	HG - Ausgang 6 - unbelegt STATUS	EIS 1 'Switching' (1 Bit)	Low	
HG.RM Heizung.1/7/6	HG - Status alle Ventile (0 = alle geschlossen)	EIS 1 'Switching' (1 Bit)	Low	
GG.Beleuchtung.2/0/0	32 - GG Bad	EIS 1 'Switching' (1 Bit)	Low	2/1/0 5/1/0 5/1/52
GG.Beleuchtung.2/0/1	33 - GG Flur	EIS 1 'Switching' (1 Bit)	Low	2/1/1 5/1/0 5/1/52
GG.Beleuchtung.2/0/2	34 - GG Abstellraum	EIS 1 'Switching' (1 Bit)	Low	2/1/2 5/1/0 5/1/52
GG.Beleuchtung.2/0/3	36 - GG Gartenzimmer	EIS 1 'Switching' (1 Bit)	Low	2/1/3 5/1/0 5/1/52
GG.Beleuchtung.2/0/4	31 - GG Arbeitszimmer Hauptlicht	EIS 1 'Switching' (1 Bit)	Low	2/1/4 5/1/0 5/1/52
GG.Beleuchtung.2/0/5	42 - GG Arbeitszimmer Schreibtisch	EIS 1 'Switching' (1 Bit)	Low	2/1/5 5/1/0 5/1/52
GG.Beleuchtung.2/0/6	41 - GG unter Treppe	EIS 1 'Switching' (1 Bit)	Low	2/1/6 5/1/0 5/1/52
GG.Beleuchtung.2/0/7	37 - GG Aussenlampe Terrasse	EIS 1 'Switching' (1 Bit)	Low	5/1/0 5/1/52
GG.Beleuchtung.2/0/8	38 - GG Aussenbeleuchutung	EIS 1 'Switching' (1 Bit)	Low	5/1/0 5/1/52
GG.Beleuchtung.2/0/9	GG Garten	EIS 1 'Switching' (1 Bit)	Low	5/1/0 5/1/52
GG.Beleuchtung.2/0/10	40 - GG Bad Spiegel	EIS 1 'Switching' (1 Bit)	Low	2/1/10 5/1/0 5/1/52
GG.Beleuchtung.2/0/11	35 - GG Gartenzimmer schalten	EIS 1 'Switching' (1 Bit)	Low	2/1/11 5/1/0 5/1/52
GG.RM Beleuchtung.2/1/0	32 - GG Bad STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/1	33 - GG Flur STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/2	34 - GG Abstellkammer STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/3	36 - GG Gartenzimmer Ost STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/4	31 - GG Arbeitszimmer Hauptlicht STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/5	42 - GG Arbeitszimmer Schreibtisch STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/6	41 - GG unter Treppe STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/7	37 - GG Aussenlampe Terrasse STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/8	38 - GG Aussenbeleuchutung STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/9	GG Garten STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/10	40 - GG Bad Spiegel STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.RM Beleuchtung.2/1/11	35 - GG Gartenzimmer STATUS	EIS 1 'Switching' (1 Bit)	Low	
GG.Rollläden.2/2/1	Rolladen G - GG Zimmer 3 Ecke AUF/AB	EIS 1 'Switching' (1 Bit)	Low	2/2/10 5/3/2 5/3/3
GG.Rollläden.2/2/2	Rolladen G - GG Zimmer 3 Ecke START/STOP	EIS 1 'Switching' (1 Bit)	Low	2/2/11 5/3/6 5/3/7
GG.Rollläden.2/2/3	Rolladen G - GG Zimmer 3 Ecke POSITION	Uncertain (1 Byte)	Low	2/2/12
GG.Rollläden.2/2/4	Rolladen H - GG Zimmer 3 lange Seite AUF/AB	EIS 1 'Switching' (1 Bit)	Low	2/2/10 5/3/2 5/3/3
GG.Rollläden.2/2/5	Rolladen H - GG Zimmer 3 lange Seite START/STOP	EIS 1 'Switching' (1 Bit)	Low	2/2/11 5/3/6 5/3/7
GG.Rollläden.2/2/6	Rolladen H - GG Zimmer 3 lange Seite POSITION	Uncertain (1 Byte)	Low	2/2/12
